answer	qid
Louisiana was adversely affected by Hurricane Gustav .	blogs-03-1
The storm rolled in on Monday , September 1 , in the morning .	blogs-03-2
Winds started kicking up .	blogs-03-3
President Bush came to Baton Rouge yesterday to assess the damage .	blogs-03-4
Here 's what happened to me and my family : We watched the storm moving in all of last weekend on the Weather Channel and local news .	blogs-03-5
I went to Home Depot just in the nick of time to purchase a portable generator .	blogs-03-6
We were told our area would get winds of about 50mph .	blogs-03-7
I started to get nervous at that point because I have numerous trees near my home and I was concerned that if those fell , it would cause serious damage to my home and perhaps to my family .	blogs-03-8
Thankfully , my parents ' house had electricity restored the day after the storm so I was able to bring my family to their house until electricity at my house gets restored .	blogs-03-9
I filled up my three SUVs and I filled up five five-gallon containers of gasoline .	blogs-03-10
I live in an area where there are lots of large pine and oak trees .	blogs-03-11
About 12:30pm , I was standing on my back patio when I watched a large tree split in two and fall in my neighbor 's yard .	blogs-03-12
About 12:30pm , I was standing on my back patio when I watched a large tree split in two and fall in my neighbor 's yard .	blogs-03-13
About 12:30pm , I was standing on my back patio when I watched a large tree split in two and fall in my neighbor 's yard .	blogs-03-14
My wife , our five children , and our dog , stayed in an area of the home where we felt safest .	blogs-03-15
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-1
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-2
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-3
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-4
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-5
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-6
The Crow was hugely flattered by this , and just to show the Fox that she could sing she gave a loud caw .	fables-01-7
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-8
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-9
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-10
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-11
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .	fables-01-12
The Crow was hugely flattered by this , and just to show the Fox that she could sing she gave a loud caw .	fables-01-13
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-1
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off ; and , having now lost his only means of defense , fell an easy prey to the Lion .	fables-02-2
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-3
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-4
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-5
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-6
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-7
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-8
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-9
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-10
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-11
But , my dear friend , what in the world makes you wear those ugly horns ?	fables-02-12
